Campaign budget analysis data export
"February 11, 2022 - November 10, 2025"
Campaign,Day,Campaign ID,Budget,Clicks,Impr.,Currency code,Cost,CTR,Avg. CPC,Conversions
SBR Pravanika | Search | 25 Nov 22,,19031976471,2000.00,0,0,INR,0.00,0,0,0.00
Valmark Cityville | Search | 25 Nov 22,22-11-24,19038490303,5000.00,0,0,INR,0.00,0,0,0.00
SBR Pravanika | Search | 25 Nov 22,2022-11-25,19031976471,2000.00,3,34,INR,411.98,8.82%,137.33,0.00
Valmark Cityville | Search | 25 Nov 22,2022-11-25,19038490303,5000.00,5,48,INR,870.50,10.42%,174.10,0.00
SBR Pravanika | Search | 25 Nov 22,2022-11-26,19031976471,2000.00,11,62,INR,1147.28,17.74%,104.30,2.00
Valmark Cityville | Search | 25 Nov 22,2022-11-26,19038490303,5000.00,5,65,INR,738.82,7.69%,147.76,0.00
SBR Pravanika | Search | 25 Nov 22,2022-11-27,19031976471,2000.00,10,56,INR,1469.71,17.86%,146.97,12.00
Valmark Cityville | Search | 25 Nov 22,2022-11-27,19038490303,5000.00,11,78,INR,1594.51,14.10%,144.96,0.00
Cedar string | Search | 28 Nov 22,2022-11-27,19068155944,5280.70,0,0,INR,0.00,0,0,0.00
SBR Pravanika | Search | 25 Nov 22,2022-11-28,19031976471,2000.00,2,44,INR,417.87,4.55%,208.94,0.00
Valmark Cityville | Search | 25 Nov 22,2022-11-28,19038490303,5000.00,9,72,INR,1496.26,12.50%,166.25,0.00
Cedar string | Search | 28 Nov 22,2022-11-28,19068155944,5280.70,52,"1,847",INR,6419.36,2.82%,123.45,0.00
SBR Minara | Search | 28 Nov 22,2022-11-28,19068825589,5000.00,5,47,INR,857.95,10.64%,171.59,0.00
Birla Apple Spire | Search | 28 Nov 22,2022-11-28,19070991764,4381.50,0,2,INR,0.00,0.00%,0,0.00
SBR Pravanika | Search | 25 Nov 22,2022-11-29,19031976471,2000.00,0,35,INR,0.00,0.00%,0,0.00
Valmark Cityville | Search | 25 Nov 22,2022-11-29,19038490303,5000.00,3,37,INR,262.03,8.11%,87.34,0.00
Cedar string | Search | 28 Nov 22,2022-11-29,19068155944,5280.70,36,214,INR,2042.60,16.82%,56.74,4.00
SBR Minara | Search | 28 Nov 22,2022-11-29,19068825589,5000.00,15,110,INR,2345.58,13.64%,156.37,1.00
Birla Apple Spire | Search | 28 Nov 22,2022-11-29,19070991764,4381.50,2,14,INR,121.27,14.29%,60.64,0.00
SBR Pravanika | Search | 25 Nov 22,2022-11-30,19031976471,2000.00,3,35,INR,197.21,8.57%,65.74,1.00
Valmark Cityville | Search | 25 Nov 22,2022-11-30,19038490303,5000.00,5,74,INR,377.33,6.76%,75.47,0.00
Cedar string | Search | 28 Nov 22,2022-11-30,19068155944,5280.70,23,160,INR,1289.47,14.38%,56.06,0.00
SBR Minara | Search | 28 Nov 22,2022-11-30,19068825589,5000.00,39,143,INR,8259.61,27.27%,211.78,7.00
Birla Apple Spire | Search | 28 Nov 22,2022-11-30,19070991764,4381.50,1,5,INR,75.70,20.00%,75.70,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-01,19031976471,2000.00,5,36,INR,367.19,13.89%,73.44,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-01,19038490303,5000.00,8,101,INR,734.38,7.92%,91.80,4.00
Cedar string | Search | 28 Nov 22,2022-12-01,19068155944,5280.70,12,57,INR,791.86,21.05%,65.99,1.00
SBR Minara | Search | 28 Nov 22,2022-12-01,19068825589,5000.00,24,65,INR,5613.46,36.92%,233.89,3.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-01,19070991764,4381.50,0,5,INR,0.00,0.00%,0,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-02,19031976471,2000.00,2,38,INR,407.74,5.26%,203.87,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-02,19038490303,5000.00,80,925,INR,7875.53,8.65%,98.44,3.00
SBR Minara | Search | 28 Nov 22,2022-12-02,19068825589,5000.00,20,87,INR,4907.81,22.99%,245.39,3.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-02,19070991764,4381.50,2,3,INR,387.98,66.67%,193.99,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-03,19031976471,2000.00,4,46,INR,455.12,8.70%,113.78,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-03,19038490303,5000.00,47,715,INR,6605.98,6.57%,140.55,2.00
SBR Minara | Search | 28 Nov 22,2022-12-03,19068825589,5000.00,22,125,INR,5764.23,17.60%,262.01,5.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-03,19070991764,4381.50,0,28,INR,0.00,0.00%,0,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-04,19031976471,2000.00,2,12,INR,62.89,16.67%,31.45,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-04,19038490303,5000.00,29,419,INR,4141.15,6.92%,142.80,0.00
SBR Minara | Search | 28 Nov 22,2022-12-04,19068825589,5000.00,7,25,INR,1547.57,28.00%,221.08,1.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-04,19070991764,4381.50,0,9,INR,0.00,0.00%,0,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-05,19031976471,2000.00,4,37,INR,510.76,10.81%,127.69,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-05,19038490303,5000.00,38,520,INR,6236.05,7.31%,164.11,2.00
SBR Minara | Search | 28 Nov 22,2022-12-05,19068825589,5000.00,30,114,INR,5759.35,26.32%,191.98,8.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-05,19070991764,4381.50,2,23,INR,321.28,8.70%,160.64,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-06,19031976471,2000.00,5,33,INR,941.01,15.15%,188.20,2.00
Valmark Cityville | Search | 25 Nov 22,2022-12-06,19038490303,5000.00,57,698,INR,6335.44,8.17%,111.15,0.00
SBR Minara | Search | 28 Nov 22,2022-12-06,19068825589,5000.00,31,126,INR,6904.07,24.60%,222.71,7.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-06,19070991764,4381.50,3,29,INR,692.80,10.34%,230.93,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-07,19031976471,2000.00,6,40,INR,2137.39,15.00%,356.23,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-07,19038490303,5000.00,61,719,INR,5921.44,8.48%,97.07,15.00
SBR Minara | Search | 28 Nov 22,2022-12-07,19068825589,5000.00,14,99,INR,3719.53,14.14%,265.68,4.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-07,19070991764,4381.50,2,27,INR,1204.44,7.41%,602.22,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-08,19031976471,2000.00,10,40,INR,2155.42,25.00%,215.54,1.00
Valmark Cityville | Search | 25 Nov 22,2022-12-08,19038490303,5000.00,47,878,INR,3968.96,5.35%,84.45,5.00
SBR Minara | Search | 28 Nov 22,2022-12-08,19068825589,5000.00,19,129,INR,4609.39,14.73%,242.60,0.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-08,19070991764,4381.50,3,32,INR,1394.95,9.38%,464.98,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-09,19031976471,2000.00,10,57,INR,3628.18,17.54%,362.82,0.00
Valmark Cityville | Search | 25 Nov 22,2022-12-09,19038490303,5000.00,55,853,INR,4495.34,6.45%,81.73,1.00
SBR Minara | Search | 28 Nov 22,2022-12-09,19068825589,5000.00,14,109,INR,2917.23,12.84%,208.37,2.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-09,19070991764,4381.50,2,33,INR,1369.00,6.06%,684.50,0.00
SBR Pravanika | Search | 25 Nov 22,2022-12-10,19031976471,2000.00,5,58,INR,1353.05,8.62%,270.61,1.00
Valmark Cityville | Search | 25 Nov 22,2022-12-10,19038490303,5000.00,59,876,INR,5407.10,6.74%,91.65,2.00
SBR Minara | Search | 28 Nov 22,2022-12-10,19068825589,5000.00,17,121,INR,4032.24,14.05%,237.19,3.00
Birla Apple Spire | Search | 28 Nov 22,2022-12-10,19070991764,4381.50,2,32,INR,3247.58,6.25%,1623.79,0.00
